#pago;PagoIntereses;PagoCapital;SeguroVida;SeguroDaños;Comision;PagoHip;SeguroCasa;PagoTotal;SaldoCredito
Año;1
146;2,930.30;2,267.62;77.85;123.15;290.00;5,688.92;243.47;5,932.39;331,856.27
147;2,910.41;2,287.51;77.32;123.15;290.00;5,688.39;243.47;5,931.86;329,568.76
148;2,890.35;2,307.57;76.79;123.15;290.00;5,687.86;243.47;5,931.33;327,261.19
149;2,870.11;2,327.81;76.25;123.15;290.00;5,687.32;243.47;5,930.79;324,933.38
150;2,849.70;2,348.22;75.71;123.15;290.00;5,686.78;243.47;5,930.25;322,585.16
151;2,829.10;2,368.82;75.16;123.15;290.00;5,686.23;243.47;5,929.70;320,216.34
152;2,808.33;2,389.59;74.61;123.15;290.00;5,685.68;243.47;5,929.15;317,826.74
153;2,787.37;2,410.55;74.05;123.15;290.00;5,685.12;243.47;5,928.59;315,416.19
154;2,766.23;2,431.69;73.49;123.15;290.00;5,684.56;243.47;5,928.03;312,984.50
155;2,744.90;2,453.02;72.93;123.15;290.00;5,684.00;243.47;5,927.47;310,531.49
156;2,723.39;2,474.53;72.35;123.15;290.00;5,683.42;243.47;5,926.89;308,056.96
Año;14
157;2,701.69;2,496.23;71.78;123.15;290.00;5,682.85;243.47;5,926.32;305,560.72
158;2,679.80;2,518.12;71.20;123.15;290.00;5,682.27;243.47;5,925.74;303,042.60
159;2,657.71;2,540.21;70.61;123.15;290.00;5,681.68;243.47;5,925.15;300,502.39
160;2,635.43;2,562.49;70.02;123.15;290.00;5,681.09;243.47;5,924.56;297,939.90
161;2,612.96;2,584.96;69.42;123.15;290.00;5,680.49;243.47;5,923.96;295,354.95
162;2,590.29;2,607.63;68.82;123.15;290.00;5,679.89;243.47;5,923.36;292,747.32
163;2,567.42;2,630.50;68.21;123.15;290.00;5,679.28;243.47;5,922.75;290,116.82
164;2,544.35;2,653.57;67.60;123.15;290.00;5,678.67;243.47;5,922.14;287,463.25
165;2,521.08;2,676.84;66.98;123.15;290.00;5,678.05;243.47;5,921.52;284,786.41
166;2,497.60;2,700.32;66.36;123.15;290.00;5,677.43;243.47;5,920.90;282,086.09
167;2,473.92;2,724.00;65.73;123.15;290.00;5,676.80;243.47;5,920.27;279,362.09
168;2,450.03;2,747.89;65.09;123.15;290.00;5,676.16;243.47;5,919.63;276,614.20
Año;15
169;2,425.93;2,771.99;64.45;123.15;290.00;5,675.52;243.47;5,918.99;273,842.21
170;2,401.62;2,796.30;63.81;123.15;290.00;5,674.88;243.47;5,918.35;271,045.92
171;2,377.10;2,820.82;63.15;123.15;290.00;5,674.22;243.47;5,917.69;268,225.09
172;2,352.36;2,845.56;62.50;123.15;290.00;5,673.57;243.47;5,917.04;265,379.53
173;2,327.40;2,870.52;61.83;123.15;290.00;5,672.90;243.47;5,916.37;262,509.02
174;2,302.23;2,895.69;61.16;123.15;290.00;5,672.23;243.47;5,915.70;259,613.32
